address,address_hex,first_frame,fceux_value,interp_value,region,name,critical
6,0006,1,255,0,ZERO_PAGE,,false
7,0007,1,255,7,ZERO_PAGE,,false
510,01fe,1,255,45,STACK,,false
511,01ff,1,255,128,STACK,,false
1900,076c,1,255,0,GAME_STATE,,false
1901,076d,1,255,0,GAME_STATE,,false
1902,076e,1,255,0,GAME_STATE,,false
1903,076f,1,255,0,GAME_STATE,,false
1908,0774,1,255,0,GAME_STATE,,false
1909,0775,1,255,0,GAME_STATE,,false
1910,0776,1,255,0,GAME_STATE,,false
1911,0777,1,255,0,GAME_STATE,,false
1916,077c,1,255,0,GAME_STATE,,false
1917,077d,1,255,0,GAME_STATE,,false
1918,077e,1,255,0,GAME_STATE,,false
1919,077f,1,255,0,GAME_STATE,IntervalTimerControl,true
1924,0784,1,255,0,GAME_STATE,,false
1925,0785,1,255,0,GAME_STATE,,false
1926,0786,1,255,0,GAME_STATE,,false
1927,0787,1,255,0,GAME_STATE,,false
1932,078c,1,255,0,GAME_STATE,,false
1933,078d,1,255,0,GAME_STATE,,false
1934,078e,1,255,0,GAME_STATE,,false
1935,078f,1,255,0,GAME_STATE,,false
1940,0794,1,255,0,GAME_STATE,,false
1941,0795,1,255,0,GAME_STATE,,false
1942,0796,1,255,0,GAME_STATE,,false
1943,0797,1,255,0,GAME_STATE,,false
1948,079c,1,255,0,GAME_STATE,,false
1949,079d,1,255,0,GAME_STATE,,false
1950,079e,1,255,0,GAME_STATE,,false
1951,079f,1,255,0,GAME_STATE,,false
1956,07a4,1,255,0,GAME_STATE,,false
1957,07a5,1,255,0,GAME_STATE,,false
1958,07a6,1,255,0,GAME_STATE,,false
1959,07a7,1,255,0,GAME_STATE,,false
1964,07ac,1,255,0,GAME_STATE,,false
1965,07ad,1,255,0,GAME_STATE,,false
1966,07ae,1,255,0,GAME_STATE,,false
1967,07af,1,255,0,GAME_STATE,,false
1972,07b4,1,255,0,GAME_STATE,,false
1973,07b5,1,255,0,GAME_STATE,,false
1974,07b6,1,255,0,GAME_STATE,,false
1975,07b7,1,255,0,GAME_STATE,,false
1980,07bc,1,255,0,GAME_STATE,,false
1981,07bd,1,255,0,GAME_STATE,,false
1982,07be,1,255,0,GAME_STATE,,false
1983,07bf,1,255,0,GAME_STATE,,false
1988,07c4,1,255,0,GAME_STATE,,false
1989,07c5,1,255,0,GAME_STATE,,false
1990,07c6,1,255,0,GAME_STATE,,false
1991,07c7,1,255,0,GAME_STATE,,false
1996,07cc,1,255,0,GAME_STATE,,false
1997,07cd,1,255,0,GAME_STATE,,false
1998,07ce,1,255,0,GAME_STATE,,false
1999,07cf,1,255,0,GAME_STATE,,false
2004,07d4,1,255,0,GAME_STATE,,false
2005,07d5,1,255,0,GAME_STATE,,false
2006,07d6,1,255,0,GAME_STATE,,false
2007,07d7,1,255,0,GAME_STATE,,false
2012,07dc,1,255,0,GAME_STATE,,false
2013,07dd,1,255,0,GAME_STATE,,false
2014,07de,1,255,0,GAME_STATE,,false
2015,07df,1,255,0,GAME_STATE,,false
2020,07e4,1,255,0,GAME_STATE,,false
2021,07e5,1,255,0,GAME_STATE,,false
2022,07e6,1,255,0,GAME_STATE,,false
2023,07e7,1,255,0,GAME_STATE,,false
2028,07ec,1,255,0,GAME_STATE,,false
2029,07ed,1,255,0,GAME_STATE,,false
2030,07ee,1,255,0,GAME_STATE,,false
2031,07ef,1,255,0,GAME_STATE,,false
2036,07f4,1,255,0,GAME_STATE,,false
2037,07f5,1,255,0,GAME_STATE,,false
2038,07f6,1,255,0,GAME_STATE,,false
2039,07f7,1,255,0,GAME_STATE,,false
2044,07fc,1,255,0,GAME_STATE,,false
2045,07fd,1,255,0,GAME_STATE,,false
2046,07fe,1,255,0,GAME_STATE,,false
46,002e,2,255,0,ZERO_PAGE,,false
47,002f,2,255,0,ZERO_PAGE,,false
52,0034,2,255,0,ZERO_PAGE,,false
53,0035,2,255,0,ZERO_PAGE,,false
54,0036,2,255,0,ZERO_PAGE,,false
55,0037,2,255,0,ZERO_PAGE,,false
60,003c,2,255,0,ZERO_PAGE,,false
61,003d,2,255,0,ZERO_PAGE,,false
62,003e,2,255,0,ZERO_PAGE,,false
63,003f,2,255,0,ZERO_PAGE,,false
68,0044,2,255,0,ZERO_PAGE,,false
69,0045,2,255,0,ZERO_PAGE,,false
70,0046,2,255,0,ZERO_PAGE,,false
71,0047,2,255,0,ZERO_PAGE,,false
76,004c,2,255,0,ZERO_PAGE,,false
77,004d,2,255,0,ZERO_PAGE,,false
78,004e,2,255,0,ZERO_PAGE,,false
79,004f,2,255,0,ZERO_PAGE,,false
84,0054,2,255,0,ZERO_PAGE,,false
85,0055,2,255,0,ZERO_PAGE,,false
86,0056,2,255,0,ZERO_PAGE,,false
87,0057,2,255,0,ZERO_PAGE,Player_X_Speed,true
92,005c,2,255,0,ZERO_PAGE,,false
93,005d,2,255,0,ZERO_PAGE,,false
94,005e,2,255,0,ZERO_PAGE,,false
95,005f,2,255,0,ZERO_PAGE,,false
100,0064,2,255,0,ZERO_PAGE,,false
101,0065,2,255,0,ZERO_PAGE,,false
102,0066,2,255,0,ZERO_PAGE,,false
103,0067,2,255,0,ZERO_PAGE,,false
108,006c,2,255,0,ZERO_PAGE,,false
109,006d,2,255,0,ZERO_PAGE,Player_PageLoc,true
110,006e,2,255,0,ZERO_PAGE,,false
111,006f,2,255,0,ZERO_PAGE,,false
116,0074,2,255,0,ZERO_PAGE,,false
117,0075,2,255,0,ZERO_PAGE,,false
118,0076,2,255,0,ZERO_PAGE,,false
119,0077,2,255,0,ZERO_PAGE,,false
124,007c,2,255,0,ZERO_PAGE,,false
125,007d,2,255,0,ZERO_PAGE,,false
126,007e,2,255,0,ZERO_PAGE,,false
127,007f,2,255,0,ZERO_PAGE,,false
132,0084,2,255,0,ZERO_PAGE,,false
133,0085,2,255,0,ZERO_PAGE,,false
134,0086,2,255,0,ZERO_PAGE,Player_X_Position,true
135,0087,2,255,0,ZERO_PAGE,,false
140,008c,2,255,0,ZERO_PAGE,,false
141,008d,2,255,0,ZERO_PAGE,,false
142,008e,2,255,0,ZERO_PAGE,,false
143,008f,2,255,0,ZERO_PAGE,,false
148,0094,2,255,0,ZERO_PAGE,,false
149,0095,2,255,0,ZERO_PAGE,,false
150,0096,2,255,0,ZERO_PAGE,,false
151,0097,2,255,0,ZERO_PAGE,,false
156,009c,2,255,0,ZERO_PAGE,,false
157,009d,2,255,0,ZERO_PAGE,,false
158,009e,2,255,0,ZERO_PAGE,,false
159,009f,2,255,0,ZERO_PAGE,Player_Y_Speed,true
164,00a4,2,255,0,ZERO_PAGE,,false
165,00a5,2,255,0,ZERO_PAGE,,false
166,00a6,2,255,0,ZERO_PAGE,,false
167,00a7,2,255,0,ZERO_PAGE,,false
172,00ac,2,255,0,ZERO_PAGE,,false
173,00ad,2,255,0,ZERO_PAGE,,false
174,00ae,2,255,0,ZERO_PAGE,,false
175,00af,2,255,0,ZERO_PAGE,,false
180,00b4,2,255,0,ZERO_PAGE,,false
181,00b5,2,255,0,ZERO_PAGE,,false
182,00b6,2,255,0,ZERO_PAGE,,false
183,00b7,2,255,0,ZERO_PAGE,,false
188,00bc,2,255,0,ZERO_PAGE,,false
189,00bd,2,255,0,ZERO_PAGE,,false
190,00be,2,255,0,ZERO_PAGE,,false
191,00bf,2,255,0,ZERO_PAGE,,false
196,00c4,2,255,0,ZERO_PAGE,,false
197,00c5,2,255,0,ZERO_PAGE,,false
198,00c6,2,255,0,ZERO_PAGE,,false
199,00c7,2,255,0,ZERO_PAGE,,false
204,00cc,2,255,0,ZERO_PAGE,,false
205,00cd,2,255,0,ZERO_PAGE,,false
206,00ce,2,255,0,ZERO_PAGE,Player_Y_Position,true
207,00cf,2,255,0,ZERO_PAGE,,false
212,00d4,2,255,0,ZERO_PAGE,,false
213,00d5,2,255,0,ZERO_PAGE,,false
214,00d6,2,255,0,ZERO_PAGE,,false
215,00d7,2,255,0,ZERO_PAGE,,false
220,00dc,2,255,0,ZERO_PAGE,,false
221,00dd,2,255,0,ZERO_PAGE,,false
222,00de,2,255,0,ZERO_PAGE,,false
223,00df,2,255,0,ZERO_PAGE,,false
228,00e4,2,255,0,ZERO_PAGE,,false
229,00e5,2,255,0,ZERO_PAGE,,false
230,00e6,2,255,0,ZERO_PAGE,,false
231,00e7,2,255,0,ZERO_PAGE,,false
236,00ec,2,255,0,ZERO_PAGE,,false
237,00ed,2,255,0,ZERO_PAGE,,false
238,00ee,2,255,0,ZERO_PAGE,,false
239,00ef,2,255,0,ZERO_PAGE,,false
244,00f4,2,255,0,ZERO_PAGE,,false
245,00f5,2,255,0,ZERO_PAGE,,false
246,00f6,2,255,0,ZERO_PAGE,,false
247,00f7,2,255,0,ZERO_PAGE,,false
252,00fc,2,255,0,ZERO_PAGE,,false
253,00fd,2,255,0,ZERO_PAGE,,false
254,00fe,2,255,0,ZERO_PAGE,,false
255,00ff,2,255,0,ZERO_PAGE,,false
260,0104,2,255,0,STACK,,false
261,0105,2,255,0,STACK,,false
262,0106,2,255,0,STACK,,false
263,0107,2,255,0,STACK,,false
268,010c,2,255,0,STACK,,false
269,010d,2,255,0,STACK,,false
270,010e,2,255,0,STACK,,false
271,010f,2,255,0,STACK,,false
276,0114,2,255,0,STACK,,false
277,0115,2,255,0,STACK,,false
278,0116,2,255,0,STACK,,false
279,0117,2,255,0,STACK,,false
284,011c,2,255,0,STACK,,false
285,011d,2,255,0,STACK,,false
286,011e,2,255,0,STACK,,false
287,011f,2,255,0,STACK,,false
292,0124,2,255,0,STACK,,false
293,0125,2,255,0,STACK,,false
294,0126,2,255,0,STACK,,false
295,0127,2,255,0,STACK,,false
300,012c,2,255,0,STACK,,false
301,012d,2,255,0,STACK,,false
302,012e,2,255,0,STACK,,false
303,012f,2,255,0,STACK,,false
308,0134,2,255,0,STACK,,false
309,0135,2,255,0,STACK,,false
310,0136,2,255,0,STACK,,false
311,0137,2,255,0,STACK,,false
316,013c,2,255,0,STACK,,false
317,013d,2,255,0,STACK,,false
318,013e,2,255,0,STACK,,false
319,013f,2,255,0,STACK,,false
324,0144,2,255,0,STACK,,false
325,0145,2,255,0,STACK,,false
326,0146,2,255,0,STACK,,false
327,0147,2,255,0,STACK,,false
332,014c,2,255,0,STACK,,false
333,014d,2,255,0,STACK,,false
334,014e,2,255,0,STACK,,false
335,014f,2,255,0,STACK,,false
340,0154,2,255,0,STACK,,false
341,0155,2,255,0,STACK,,false
342,0156,2,255,0,STACK,,false
343,0157,2,255,0,STACK,,false
348,015c,2,255,0,STACK,,false
349,015d,2,255,0,STACK,,false
350,015e,2,255,0,STACK,,false
351,015f,2,255,0,STACK,,false
516,0204,2,255,0,OAM_BUFFER,,false
517,0205,2,255,0,OAM_BUFFER,,false
518,0206,2,255,0,OAM_BUFFER,,false
519,0207,2,255,0,OAM_BUFFER,,false
524,020c,2,255,0,OAM_BUFFER,,false
525,020d,2,255,0,OAM_BUFFER,,false
526,020e,2,255,0,OAM_BUFFER,,false
527,020f,2,255,0,OAM_BUFFER,,false
532,0214,2,255,0,OAM_BUFFER,,false
533,0215,2,255,0,OAM_BUFFER,,false
534,0216,2,255,0,OAM_BUFFER,,false
535,0217,2,255,0,OAM_BUFFER,,false
540,021c,2,255,0,OAM_BUFFER,,false
541,021d,2,255,0,OAM_BUFFER,,false
542,021e,2,255,0,OAM_BUFFER,,false
543,021f,2,255,0,OAM_BUFFER,,false
548,0224,2,255,0,OAM_BUFFER,,false
549,0225,2,255,0,OAM_BUFFER,,false
550,0226,2,255,0,OAM_BUFFER,,false
551,0227,2,255,0,OAM_BUFFER,,false
556,022c,2,255,0,OAM_BUFFER,,false
557,022d,2,255,0,OAM_BUFFER,,false
558,022e,2,255,0,OAM_BUFFER,,false
559,022f,2,255,0,OAM_BUFFER,,false
564,0234,2,255,0,OAM_BUFFER,,false
565,0235,2,255,0,OAM_BUFFER,,false
566,0236,2,255,0,OAM_BUFFER,,false
567,0237,2,255,0,OAM_BUFFER,,false
572,023c,2,255,0,OAM_BUFFER,,false
573,023d,2,255,0,OAM_BUFFER,,false
574,023e,2,255,0,OAM_BUFFER,,false
575,023f,2,255,0,OAM_BUFFER,,false
580,0244,2,255,0,OAM_BUFFER,,false
581,0245,2,255,0,OAM_BUFFER,,false
582,0246,2,255,0,OAM_BUFFER,,false
583,0247,2,255,0,OAM_BUFFER,,false
588,024c,2,255,0,OAM_BUFFER,,false
589,024d,2,255,0,OAM_BUFFER,,false
590,024e,2,255,0,OAM_BUFFER,,false
591,024f,2,255,0,OAM_BUFFER,,false
596,0254,2,255,0,OAM_BUFFER,,false
597,0255,2,255,0,OAM_BUFFER,,false
598,0256,2,255,0,OAM_BUFFER,,false
599,0257,2,255,0,OAM_BUFFER,,false
604,025c,2,255,0,OAM_BUFFER,,false
605,025d,2,255,0,OAM_BUFFER,,false
606,025e,2,255,0,OAM_BUFFER,,false
607,025f,2,255,0,OAM_BUFFER,,false
612,0264,2,255,0,OAM_BUFFER,,false
613,0265,2,255,0,OAM_BUFFER,,false
614,0266,2,255,0,OAM_BUFFER,,false
615,0267,2,255,0,OAM_BUFFER,,false
620,026c,2,255,0,OAM_BUFFER,,false
621,026d,2,255,0,OAM_BUFFER,,false
622,026e,2,255,0,OAM_BUFFER,,false
623,026f,2,255,0,OAM_BUFFER,,false
628,0274,2,255,0,OAM_BUFFER,,false
629,0275,2,255,0,OAM_BUFFER,,false
630,0276,2,255,0,OAM_BUFFER,,false
631,0277,2,255,0,OAM_BUFFER,,false
636,027c,2,255,0,OAM_BUFFER,,false
637,027d,2,255,0,OAM_BUFFER,,false
638,027e,2,255,0,OAM_BUFFER,,false
639,027f,2,255,0,OAM_BUFFER,,false
644,0284,2,255,0,OAM_BUFFER,,false
645,0285,2,255,0,OAM_BUFFER,,false
646,0286,2,255,0,OAM_BUFFER,,false
647,0287,2,255,0,OAM_BUFFER,,false
652,028c,2,255,0,OAM_BUFFER,,false
653,028d,2,255,0,OAM_BUFFER,,false
654,028e,2,255,0,OAM_BUFFER,,false
655,028f,2,255,0,OAM_BUFFER,,false
660,0294,2,255,0,OAM_BUFFER,,false
661,0295,2,255,0,OAM_BUFFER,,false
662,0296,2,255,0,OAM_BUFFER,,false
663,0297,2,255,0,OAM_BUFFER,,false
668,029c,2,255,0,OAM_BUFFER,,false
669,029d,2,255,0,OAM_BUFFER,,false
670,029e,2,255,0,OAM_BUFFER,,false
671,029f,2,255,0,OAM_BUFFER,,false
676,02a4,2,255,0,OAM_BUFFER,,false
677,02a5,2,255,0,OAM_BUFFER,,false
678,02a6,2,255,0,OAM_BUFFER,,false
679,02a7,2,255,0,OAM_BUFFER,,false
684,02ac,2,255,0,OAM_BUFFER,,false
685,02ad,2,255,0,OAM_BUFFER,,false
686,02ae,2,255,0,OAM_BUFFER,,false
687,02af,2,255,0,OAM_BUFFER,,false
692,02b4,2,255,0,OAM_BUFFER,,false
693,02b5,2,255,0,OAM_BUFFER,,false
694,02b6,2,255,0,OAM_BUFFER,,false
695,02b7,2,255,0,OAM_BUFFER,,false
700,02bc,2,255,0,OAM_BUFFER,,false
701,02bd,2,255,0,OAM_BUFFER,,false
702,02be,2,255,0,OAM_BUFFER,,false
703,02bf,2,255,0,OAM_BUFFER,,false
708,02c4,2,255,0,OAM_BUFFER,,false
709,02c5,2,255,0,OAM_BUFFER,,false
710,02c6,2,255,0,OAM_BUFFER,,false
711,02c7,2,255,0,OAM_BUFFER,,false
716,02cc,2,255,0,OAM_BUFFER,,false
717,02cd,2,255,0,OAM_BUFFER,,false
718,02ce,2,255,0,OAM_BUFFER,,false
719,02cf,2,255,0,OAM_BUFFER,,false
724,02d4,2,255,0,OAM_BUFFER,,false
725,02d5,2,255,0,OAM_BUFFER,,false
726,02d6,2,255,0,OAM_BUFFER,,false
727,02d7,2,255,0,OAM_BUFFER,,false
732,02dc,2,255,0,OAM_BUFFER,,false
733,02dd,2,255,0,OAM_BUFFER,,false
734,02de,2,255,0,OAM_BUFFER,,false
735,02df,2,255,0,OAM_BUFFER,,false
740,02e4,2,255,0,OAM_BUFFER,,false
741,02e5,2,255,0,OAM_BUFFER,,false
742,02e6,2,255,0,OAM_BUFFER,,false
743,02e7,2,255,0,OAM_BUFFER,,false
748,02ec,2,255,0,OAM_BUFFER,,false
749,02ed,2,255,0,OAM_BUFFER,,false
750,02ee,2,255,0,OAM_BUFFER,,false
751,02ef,2,255,0,OAM_BUFFER,,false
756,02f4,2,255,0,OAM_BUFFER,,false
757,02f5,2,255,0,OAM_BUFFER,,false
758,02f6,2,255,0,OAM_BUFFER,,false
759,02f7,2,255,0,OAM_BUFFER,,false
764,02fc,2,255,0,OAM_BUFFER,,false
765,02fd,2,255,0,OAM_BUFFER,,false
766,02fe,2,255,0,OAM_BUFFER,,false
767,02ff,2,255,0,OAM_BUFFER,,false
772,0304,2,255,0,MISC_300,,false
773,0305,2,255,0,MISC_300,,false
774,0306,2,255,0,MISC_300,,false
775,0307,2,255,0,MISC_300,,false
780,030c,2,255,0,MISC_300,,false
781,030d,2,255,0,MISC_300,,false
782,030e,2,255,0,MISC_300,,false
783,030f,2,255,0,MISC_300,,false
788,0314,2,255,0,MISC_300,,false
789,0315,2,255,0,MISC_300,,false
790,0316,2,255,0,MISC_300,,false
791,0317,2,255,0,MISC_300,,false
796,031c,2,255,0,MISC_300,,false
797,031d,2,255,0,MISC_300,,false
798,031e,2,255,0,MISC_300,,false
799,031f,2,255,0,MISC_300,,false
804,0324,2,255,0,MISC_300,,false
805,0325,2,255,0,MISC_300,,false
806,0326,2,255,0,MISC_300,,false
807,0327,2,255,0,MISC_300,,false
812,032c,2,255,0,MISC_300,,false
813,032d,2,255,0,MISC_300,,false
814,032e,2,255,0,MISC_300,,false
815,032f,2,255,0,MISC_300,,false
820,0334,2,255,0,MISC_300,,false
821,0335,2,255,0,MISC_300,,false
822,0336,2,255,0,MISC_300,,false
823,0337,2,255,0,MISC_300,,false
828,033c,2,255,0,MISC_300,,false
829,033d,2,255,0,MISC_300,,false
830,033e,2,255,0,MISC_300,,false
831,033f,2,255,0,MISC_300,,false
836,0344,2,255,0,MISC_300,,false
837,0345,2,255,0,MISC_300,,false
838,0346,2,255,0,MISC_300,,false
839,0347,2,255,0,MISC_300,,false
844,034c,2,255,0,MISC_300,,false
845,034d,2,255,0,MISC_300,,false
846,034e,2,255,0,MISC_300,,false
847,034f,2,255,0,MISC_300,,false
852,0354,2,255,0,MISC_300,,false
853,0355,2,255,0,MISC_300,,false
854,0356,2,255,0,MISC_300,,false
855,0357,2,255,0,MISC_300,,false
860,035c,2,255,0,MISC_300,,false
861,035d,2,255,0,MISC_300,,false
862,035e,2,255,0,MISC_300,,false
863,035f,2,255,0,MISC_300,,false
868,0364,2,255,0,MISC_300,,false
869,0365,2,255,0,MISC_300,,false
870,0366,2,255,0,MISC_300,,false
871,0367,2,255,0,MISC_300,,false
876,036c,2,255,0,MISC_300,,false
877,036d,2,255,0,MISC_300,,false
878,036e,2,255,0,MISC_300,,false
879,036f,2,255,0,MISC_300,,false
884,0374,2,255,0,MISC_300,,false
885,0375,2,255,0,MISC_300,,false
886,0376,2,255,0,MISC_300,,false
887,0377,2,255,0,MISC_300,,false
892,037c,2,255,0,MISC_300,,false
893,037d,2,255,0,MISC_300,,false
894,037e,2,255,0,MISC_300,,false
895,037f,2,255,0,MISC_300,,false
900,0384,2,255,0,MISC_300,,false
901,0385,2,255,0,MISC_300,,false
902,0386,2,255,0,MISC_300,,false
903,0387,2,255,0,MISC_300,,false
908,038c,2,255,0,MISC_300,,false
909,038d,2,255,0,MISC_300,,false
910,038e,2,255,0,MISC_300,,false
911,038f,2,255,0,MISC_300,,false
916,0394,2,255,0,MISC_300,,false
917,0395,2,255,0,MISC_300,,false
918,0396,2,255,0,MISC_300,,false
919,0397,2,255,0,MISC_300,,false
924,039c,2,255,0,MISC_300,,false
925,039d,2,255,0,MISC_300,,false
926,039e,2,255,0,MISC_300,,false
927,039f,2,255,0,MISC_300,,false
932,03a4,2,255,0,MISC_300,,false
933,03a5,2,255,0,MISC_300,,false
934,03a6,2,255,0,MISC_300,,false
935,03a7,2,255,0,MISC_300,,false
940,03ac,2,255,0,MISC_300,,false
941,03ad,2,255,0,MISC_300,,false
942,03ae,2,255,0,MISC_300,,false
943,03af,2,255,0,MISC_300,,false
948,03b4,2,255,0,MISC_300,,false
949,03b5,2,255,0,MISC_300,,false
950,03b6,2,255,0,MISC_300,,false
951,03b7,2,255,0,MISC_300,,false
956,03bc,2,255,0,MISC_300,,false
957,03bd,2,255,0,MISC_300,,false
958,03be,2,255,0,MISC_300,,false
959,03bf,2,255,0,MISC_300,,false
964,03c4,2,255,0,MISC_300,,false
965,03c5,2,255,0,MISC_300,,false
966,03c6,2,255,0,MISC_300,,false
967,03c7,2,255,0,MISC_300,,false
972,03cc,2,255,0,MISC_300,,false
973,03cd,2,255,0,MISC_300,,false
974,03ce,2,255,0,MISC_300,,false
975,03cf,2,255,0,MISC_300,,false
980,03d4,2,255,0,MISC_300,,false
981,03d5,2,255,0,MISC_300,,false
982,03d6,2,255,0,MISC_300,,false
983,03d7,2,255,0,MISC_300,,false
988,03dc,2,255,0,MISC_300,,false
989,03dd,2,255,0,MISC_300,,false
990,03de,2,255,0,MISC_300,,false
991,03df,2,255,0,MISC_300,,false
996,03e4,2,255,0,MISC_300,,false
997,03e5,2,255,0,MISC_300,,false
998,03e6,2,255,0,MISC_300,,false
999,03e7,2,255,0,MISC_300,,false
1004,03ec,2,255,0,MISC_300,,false
1005,03ed,2,255,0,MISC_300,,false
1006,03ee,2,255,0,MISC_300,,false
1007,03ef,2,255,0,MISC_300,,false
1012,03f4,2,255,0,MISC_300,,false
1013,03f5,2,255,0,MISC_300,,false
1014,03f6,2,255,0,MISC_300,,false
1015,03f7,2,255,0,MISC_300,,false
1020,03fc,2,255,0,MISC_300,,false
1021,03fd,2,255,0,MISC_300,,false
1022,03fe,2,255,0,MISC_300,,false
1023,03ff,2,255,0,MISC_300,,false
1028,0404,2,255,0,BLOCK_BUFFER_1A,,false
1029,0405,2,255,0,BLOCK_BUFFER_1A,,false
1030,0406,2,255,0,BLOCK_BUFFER_1A,,false
1031,0407,2,255,0,BLOCK_BUFFER_1A,,false
1036,040c,2,255,0,BLOCK_BUFFER_1A,,false
1037,040d,2,255,0,BLOCK_BUFFER_1A,,false
1038,040e,2,255,0,BLOCK_BUFFER_1A,,false
1039,040f,2,255,0,BLOCK_BUFFER_1A,,false
1044,0414,2,255,0,BLOCK_BUFFER_1A,,false
1045,0415,2,255,0,BLOCK_BUFFER_1A,,false
1046,0416,2,255,0,BLOCK_BUFFER_1A,,false
1047,0417,2,255,0,BLOCK_BUFFER_1A,,false
1052,041c,2,255,0,BLOCK_BUFFER_1A,,false
1053,041d,2,255,0,BLOCK_BUFFER_1A,,false
1054,041e,2,255,0,BLOCK_BUFFER_1A,,false
1055,041f,2,255,0,BLOCK_BUFFER_1A,,false
1060,0424,2,255,0,BLOCK_BUFFER_1A,,false
1061,0425,2,255,0,BLOCK_BUFFER_1A,,false
1062,0426,2,255,0,BLOCK_BUFFER_1A,,false
1063,0427,2,255,0,BLOCK_BUFFER_1A,,false
1068,042c,2,255,0,BLOCK_BUFFER_1A,,false
1069,042d,2,255,0,BLOCK_BUFFER_1A,,false
1070,042e,2,255,0,BLOCK_BUFFER_1A,,false
